Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Gas Equipment,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Comfort,y
Toyota,RAV4,SUV / Crossover,2016,Gasoline,2.5 L,Automatic,Front Wheel Drive,"125,000 km",Car is not damaged,,Left,Yes,Blue,R17,Halogen Headlights,Black,Textile,No,"Air conditioner, cruise control, tinted windows","$19,000"
Mercedes-Benz,EQS SUV,SUV / Crossover,2022,Electric,Automatic,All Wheel Drive,4250 km,Car is not damaged,Left,,Left,Black,R21,LED Headlights,Black,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$160,000"
Lexus,LX,SUV / Crossover,2008,Gasoline,5.7 L,Automatic,All Wheel Drive,"98,000 km",Car is not damaged,Installed,Left,Yes,Gray,R20,Хenon Headlights,Gray,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$45,000"
Hyundai,Elantra,Sedan,2013,Gasoline,1.8 L,Automatic,Front Wheel Drive,"91,000 miles",Car is not damaged,Installed,Left,Yes,Black,R16,Halogen Headlights,Gray,Textile,No,"Air conditioner, cruise control, tinted windows","$9,600"
VAZ (Lada),2121 Niva,SUV / Crossover,2021,Gasoline,1.7 L,Manual,All Wheel Drive,2468 km,Car is not damaged,,Left,Yes,White,R16,Halogen Headlights,Black,Other,Panoramic Sunroof,Tinted windows,"$10,000"
Daewoo,Nexia,Sedan,2007,Gasoline,1.5 L,Manual,Front Wheel Drive,"210,000 km",Car is not damaged,Installed,Left,Yes,Silver,R14,Halogen Headlights,Gray,Textile,No,Air conditioner,"1,400,000 ֏"
Infiniti,FX35,Sedan,2004,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"170,000 km",Car is not damaged,Installed,Left,Yes,Black,R18,Хenon Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$10,000"
VAZ (Lada),2107,Sedan,2007,Gasoline,1.6 L,Manual,Rear Wheel Drive,"68,000 km",Car is not damaged,Installed,Left,Yes,Blue,R13,Halogen Headlights,Black,Textile,No,Tinted windows,"$3,000"
Hyundai,Elantra,Sedan,2017,Gasoline,2.0 L,Automatic,Front Wheel Drive,"78,000 miles",Car is not damaged,,Left,Yes,Gray,R16,LED Headlights,Gray,Textile,No,"Air conditioner, cruise control, tinted windows","$13,200"
Toyota,Camry,Sedan,2021,Gasoline,3.5 L,Automatic,Front Wheel Drive,"21,000 km",Car is not damaged,,Left,Yes,Black,R20,Хenon Headlights,Black,Other,No,"Air conditioner, cruise control","$38,900"
Toyota,Camry,Sedan,2013,Gasoline,2.5 L,Automatic,Front Wheel Drive,"178,000 miles",Car is not damaged,Installed,Left,Yes,Black,R17,LED Headlights,Black,Leather,No,"Air conditioner, cruise control, tinted windows","$11,000"
Mercedes-Benz,E-Class,Sedan,2001,Gasoline,3.2 L,Automatic,All Wheel Drive,"310,000 km",Car is not damaged,Installed,Left,Yes,Black,R17,Halogen Headlights,Black,Leather,No,"Air conditioner, heated seats, cruise control, tinted windows","$7,300"
Nissan,Rogue Sport,SUV / Crossover,2018,Gasoline,2.0 L,Automatic,All Wheel Drive,"54,500 miles",Car is not damaged,,Left,Yes,Silver,R17,Хenon Headlights,Black,Textile,No,"Air conditioner, heated seats, ventilated seats, cruise control","$17,800"
Mercedes-Benz,C-Class,Sedan,2012,Gasoline,1.8 L,Automatic,Rear Wheel Drive,"220,000 km",Car is not damaged,,Left,No,Silver,R17,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, tinted windows","$7,000"
Alfa Romeo,Stelvio,SUV / Crossover,2018,Gasoline,2.0 L,Automatic,Front Wheel Drive,"85,000 km",Car is not damaged,,Left,Yes,Silver,R19,Хenon Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, cruise control, tinted windows","$28,000"
BMW,6 Series,Coupe,2012,Gasoline,4.8 L,Automatic,Rear Wheel Drive,"192,000 km",Car is not damaged,,Left,Yes,Black,R19,LED Headlights,Brown,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$33,000"
Daewoo,Nexia,Sedan,2014,Gasoline,1.5 L,Manual,Front Wheel Drive,"760,000 km",Car is not damaged,Installed,Left,Yes,Silver,R19,Хenon Headlights,Beige,Velour,Panoramic Sunroof,,
Opel,Vectra,Sedan,2000,Gasoline,2.0 L,Manual,Front Wheel Drive,"170,000 km",Car is not damaged,Installed,Left,Yes,Silver,R15,Хenon Headlights,Black,Velour,No,"Air conditioner, cruise control, tinted windows","$3,500"
BMW,5 Series,Sedan,2004,Gasoline,4.4 L,Automatic,Rear Wheel Drive,"300,000 km",Car is not damaged,,Left,Yes,Black,R18,LED Headlights,Black,Leatherette,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$8,000"
Kia,Optima,Sedan,2018,Gasoline,2.4 L,Automatic,Front Wheel Drive,"135,000 km",Car is not damaged,,Left,Yes,White,R17,LED Headlights,Black,Textile,No,"Air conditioner, heated seats, cruise control","$13,700"
Ford,Focus,Sedan,2013,Gasoline,2.0 L,Automatic,Front Wheel Drive,"135,000 km",Car is not damaged,,Left,Yes,Brown,R16,LED Headlights,Gray,Textile,No,"Air conditioner, heated seats, cruise control, tinted windows","$7,500"
Mazda,6,Sedan,2014,Gasoline,2.5 L,Automatic,Front Wheel Drive,"109,000 km",Car is not damaged,,Left,Yes,Gray,R17,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$14,000"
Nissan,Fuga,Sedan,2009,Gasoline,2.5 L,Automatic,Rear Wheel Drive,"83,000 km",Car is not damaged,Installed,Right,Yes,White,R17,Хenon Headlights,Black,Leather,No,,"$11,000"
Honda,CR-V,SUV / Crossover,2022,Gasoline,1.5 L,Automatic,All Wheel Drive,"12,000 km",Car is not damaged,,Left,Yes,Gray,R18,LED Headlights,Gray,Textile,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$33,200"
Chevrolet,Camaro,Coupe,2017,Gasoline,3.6 L,Automatic,Rear Wheel Drive,"57,000 miles",Car is not damaged,,Left,Yes,Silver,R20,LED Headlights,Other,Textile,No,,"$23,900"
Chevrolet,Trax,SUV / Crossover,2019,Gasoline,1.4 L,Automatic,All Wheel Drive,"52,000 km",Car is not damaged,,Left,Yes,White,R16,LED Headlights,Black,Leather,No,,"$13,700"
Mazda,6,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"118,000 miles",Car is not damaged,,Left,Yes,Black,R20,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$16,700"
Ford,Transit,Van,2000,Diesel,2.4 L,Manual,Rear Wheel Drive,"200,000 km",Car is not damaged,,Left,Yes,Green,R16,Halogen Headlights,Gray,Leather,No,,"$8,300"
Toyota,RAV4,SUV / Crossover,2017,Gasoline,2.5 L,Automatic,Front Wheel Drive,"41,800 miles",Car is damaged,,Left,Yes,Black,R17,Хenon Headlights,Black,Leather,No,,"$23,000"
Kia,Rio,Sedan,2008,Gasoline,1.4 L,Manual,Front Wheel Drive,"172,000 km",Car is not damaged,Installed,Left,Yes,Silver,R14,Halogen Headlights,Black,Textile,No,"Air conditioner, tinted windows","$5,200"
Jeep,Compass,SUV / Crossover,2017,Gasoline,2.4 L,Automatic,All Wheel Drive,"60,000 km",Car is not damaged,,Left,Yes,Green,R18,Halogen Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$15,500"
Mercedes-Benz,CL-Class,Coupe,2000,Gasoline,5.0 L,Automatic,Rear Wheel Drive,"235,000 km",Car is not damaged,Installed,Left,Yes,White,R19,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$10,000"
Nissan,Rogue,SUV / Crossover,2020,Gasoline,2.5 L,Automatic,All Wheel Drive,"95,000 km",Car is not damaged,,Left,Yes,Brown,R18,LED Headlights,Brown,Textile,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$19,300"
Opel,Vectra,Wagon,1999,Gasoline,1.6 L,Manual,Front Wheel Drive,"256,450 km",Car is not damaged,Installed,Left,Yes,Blue,R15,LED Headlights,Black,Textile,No,"Air conditioner, tinted windows","$3,500"
Chevrolet,Silverado,Pickup,2017,Gasoline,5.3 L,Automatic,All Wheel Drive,"110,000 km",Car is not damaged,,Left,Yes,White,R20,LED Headlights,Gray,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$35,000"
Mazda,6,Sedan,2016,Gasoline,2.5 L,Automatic,Front Wheel Drive,"230,000 km",Car is not damaged,,Left,Yes,White,R19,LED Headlights,Black,Leather,No,"Air conditioner, cruise control, tinted windows","$14,000"
Mercedes-Benz,CLS-Class,Sedan,2007,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"195,000 km",Car is not damaged,Installed,Left,Yes,Black,R18,LED Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$13,000"
Kia,Stinger,Liftback,2021,Gasoline,3.3 L,Automatic,Rear Wheel Drive,"37,000 km",Car is not damaged,,Left,Yes,Black,R19,LED Headlights,Red,Leather,Panoramic Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$38,500"
Kia,Forte,Sedan,2016,Gasoline,1.8 L,Automatic,Front Wheel Drive,"52,742 miles",Car is not damaged,Installed,Left,Yes,Black,R16,Хenon Headlights,Black,Textile,No,,"$11,000"
Mercedes-Benz,320,Sedan,2003,Gasoline,3.2 L,Automatic,Rear Wheel Drive,"240,000 km",Car is not damaged,Installed,Left,Yes,White,R17,LED Headlights,Other,Leather,Regular Sunroof,"Air conditioner, cruise control, tinted windows","$10,000"
Chevrolet,Volt,Sedan,2012,Hybrid,1.4 L,Automatic,Front Wheel Drive,"157,000 km",Car is not damaged,,Left,Yes,Blue,R17,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$8,800"
Mercedes-Benz,CLS-Class,Sedan,2007,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"155,000 km",Car is not damaged,,Left,Yes,White,R18,LED Headlights,Red,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$16,300"
Opel,Zafira,Minivan,2001,Gasoline,2.2 L,Automatic,Front Wheel Drive,"280,000 km",Car is not damaged,Installed,Left,Yes,White,R16,LED Headlights,Blue,Textile,No,Air conditioner,"$6,200"
BMW,X5,SUV / Crossover,2001,Gasoline,4.4 L,Automatic,All Wheel Drive,"167,460 km",Car is not damaged,Installed,Left,Yes,Silver,R18,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$7,200"
Kia,Sorento,SUV / Crossover,2010,Gasoline,3.5 L,Automatic,All Wheel Drive,"175,000 km",Car is not damaged,,Left,Yes,Maroon,R19,Хenon Headlights,Black,Leather,No,,"$13,500"
VAZ (Lada),2107,Sedan,2007,Gasoline,1.7 L,Manual,Rear Wheel Drive,"70,000 km",Car is not damaged,Installed,Left,Yes,Green,R14,Halogen Headlights,Beige,Leather,No,Air conditioner,"400,000 ֏"
Mercedes-Benz,C-Class,Sedan,1998,Gasoline,1.8 L,Automatic,Rear Wheel Drive,"200,000 km",Car is not damaged,Installed,Left,Yes,Silver,R16,Хenon Headlights,Black,Textile,Regular Sunroof,"Air conditioner, cruise control","2,600,000 ֏"
Ford,Fusion (North America),Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"75,000 miles",Car is not damaged,Installed,Left,Yes,Silver,R17,Хenon Headlights,Black,Other,No,,"$16,300"
Mercedes-Benz,Maybach S-Class,Sedan,2015,Gasoline,4.7 L,Automatic,Rear Wheel Drive,"68,000 km",Car is not damaged,,Left,Yes,Black,R20,Хenon Headlights,Beige,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$100,000"
VAZ (Lada),2121 Niva,SUV / Crossover,1984,Gasoline,1.6 L,Manual,All Wheel Drive,"757,778 km",Car is not damaged,Installed,Left,Yes,White,R15,Halogen Headlights,Gray,Other,No,Tinted windows,"$1,800"
Kia,Sportage,SUV / Crossover,2019,Gasoline,2.4 L,Automatic,All Wheel Drive,"82,000 miles",Car is not damaged,,Left,Yes,White,R17,LED Headlights,Black,Textile,No,"Air conditioner, ventilated seats, cruise control, tinted windows","$19,900"
Ford,Focus (North America),Sedan,2001,Gasoline,2.0 L,Automatic,Front Wheel Drive,"182,000 miles",Car is not damaged,,Left,Yes,Silver,R14,Halogen Headlights,Other,Textile,No,"Air conditioner, tinted windows","$3,500"
Lexus,RX,SUV / Crossover,2015,Gasoline,3.5 L,Automatic,All Wheel Drive,"78,000 km",Car is not damaged,,Left,No,Gray,R18,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$20,000"
Chevrolet,Cruze,Sedan,2019,Gasoline,1.4 L,Automatic,Front Wheel Drive,"68,000 km",Car is not damaged,,Left,Yes,Silver,R16,Хenon Headlights,Black,Alcantara,No,Cruise control,"$13,000"
Volkswagen,Golf,Hatchback,1998,Gasoline,1.6 L,Manual,Front Wheel Drive,"380,000 km",Car is not damaged,Installed,Left,Yes,Silver,R15,LED Headlights,Black,Textile,No,,"$3,800"
Mercedes-Benz,B-Class,Hatchback,2008,Gasoline,1.8 L,Automatic,Front Wheel Drive,"66,000 km",Car is not damaged,,Left,Yes,White,R16,Хenon Headlights,Beige,Textile,No,"Air conditioner, cruise control, tinted windows","$7,950"
Mazda,6,Sedan,2019,Gasoline,2.5 L,Automatic,Front Wheel Drive,"65,000 miles",Car is not damaged,,Left,Yes,White,R19,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$23,500"
Chrysler,200,Sedan,2013,Gasoline,2.4 L,Automatic,Front Wheel Drive,"160,000 miles",Car is not damaged,Installed,Left,Yes,Red,R17,LED Headlights,Black,Alcantara,No,"Air conditioner, tinted windows","$7,000"
Mercedes-Benz,S-Class,Sedan,2008,Gasoline,5.5 L,Automatic,All Wheel Drive,"245,000 km",Car is not damaged,,Left,Yes,Black,R20,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$15,500"
Nissan,Teana,Sedan,2005,Gasoline,2.3 L,Automatic,Front Wheel Drive,"230,000 km",Car is not damaged,,Left,Yes,Black,R16,Halogen Headlights,Black,Alcantara,No,Tinted windows,"$4,800"
Hyundai,Elantra,Sedan,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"72,000 miles",Car is not damaged,,Left,Yes,Black,R15,Halogen Headlights,Black,Textile,No,"Air conditioner, cruise control, tinted windows","$15,000"
Mercedes-Benz,S-Class,Sedan,1999,Gasoline,4.3 L,Automatic,Rear Wheel Drive,"123,456 km",Car is not damaged,Installed,Left,Yes,White,R16,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$6,000"
Toyota,Camry,Sedan,2021,Gasoline,2.5 L,Automatic,All Wheel Drive,"24,000 km",Car is not damaged,,Left,Yes,Black,R18,LED Headlights,Black,Leather,No,,"$35,000"
Toyota,Camry,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"80,000 km",Car is not damaged,,Left,Yes,Black,R18,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, cruise control, tinted windows","$20,500"
Nissan,Kicks,SUV / Crossover,2021,Gasoline,1.6 L,Automatic,Front Wheel Drive,"36,000 miles",Car is not damaged,,Left,No,Gray,R17,Halogen Headlights,Black,Textile,No,"Air conditioner, heated seats","$15,900"
Toyota,RAV4,SUV / Crossover,2011,Gasoline,3.5 L,Automatic,All Wheel Drive,"149,000 miles",Car is damaged,Installed,Left,Yes,Gray,R17,Halogen Headlights,Gray,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$12,200"
VAZ (Lada),2113,Hatchback,2008,Gasoline,1.5 L,Manual,Front Wheel Drive,"250,000 km",Car is not damaged,,Left,No,Gray,R13,Halogen Headlights,Gray,Textile,No,Tinted windows,"$1,500"
Volkswagen,Jetta,Sedan,2014,Gasoline,1.8 L,Automatic,Front Wheel Drive,"52,000 miles",Car is not damaged,,Left,Yes,White,R16,LED Headlights,Beige,Leather,Regular Sunroof,"Heated seats, cruise control","$9,500"
Mercedes-Benz,E-Class,Sedan,2021,Gasoline,2.0 L,Automatic,All Wheel Drive,"25,000 km",Car is not damaged,,Left,Yes,Black,R19,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$63,500"
BMW,X5,SUV / Crossover,2008,Gasoline,4.8 L,Automatic,All Wheel Drive,"135,000 miles",Car is not damaged,,Left,Yes,Black,R20,LED Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$16,000"
Lexus,NX,SUV / Crossover,2020,Gasoline,2.0 L,Automatic,Front Wheel Drive,"15,000 km",Car is not damaged,,Left,Yes,White,R17,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$50,000"
Chevrolet,Cruze,Sedan,2017,Gasoline,1.4 L,Automatic,Front Wheel Drive,"98,000 miles",Car is not damaged,,Left,Yes,White,R17,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, heated steering wheel, cruise control, tinted windows","$12,300"
Mercedes-Benz,GL-Class,SUV / Crossover,2015,Gasoline,4.0 L,Automatic,All Wheel Drive,"130,000 km",Car is not damaged,,Left,Yes,White,R21,LED Headlights,Brown,Leather,Panoramic Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$37,500"
Infiniti,QX4,SUV / Crossover,2002,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"210,000 km",Car is not damaged,Installed,Left,Yes,Silver,R17,Хenon Headlights,Black,Leather,Regular Sunroof,Air conditioner,"$6,600"
Hyundai,Kona,SUV / Crossover,2021,Gasoline,2.0 L,Automatic,Front Wheel Drive,"12,500 miles",Car is not damaged,,Left,Yes,Black,R17,Halogen Headlights,Black,Textile,No,"Air conditioner, heated seats",
Opel,Astra,Sedan,1998,Gasoline,1.6 L,Manual,Front Wheel Drive,"190,000 km",Car is not damaged,,Left,Yes,Green,R14,Halogen Headlights,Brown,Textile,No,,"$4,000"
Honda,HR-V,SUV / Crossover,2020,Gasoline,1.8 L,Automatic,Front Wheel Drive,"23,000 miles",Car is not damaged,,Left,Yes,White,R17,LED Headlights,Black,Textile,No,"Air conditioner, cruise control, tinted windows","$25,300"
Ford,Transit,Van,2010,Diesel,2.2 L,Manual,Front Wheel Drive,"255,000 km",Car is not damaged,,Left,Yes,Blue,R15,LED Headlights,Gray,Textile,No,Air conditioner,"$13,000"
Mercedes-Benz,E-Class,Sedan,2000,Diesel,2.2 L,Manual,Rear Wheel Drive,"202,000 miles",Car is not damaged,,Left,Yes,Blue,R16,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, tinted windows","$6,500"
Toyota,Camry,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"43,000 miles",Car is not damaged,,Left,Yes,Black,R18,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated steering wheel, cruise control, tinted windows","$24,000"
Tesla,Model 3,Sedan,2022,Electric,Automatic,Rear Wheel Drive,"16,000 miles",Car is not damaged,Left,,Left,White,R18,Хenon Headlights,Black,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$32,900"
VAZ (Lada),2115,Sedan,2004,Gasoline,1.5 L,Manual,Front Wheel Drive,"320,000 km",Car is not damaged,Installed,Left,Yes,Silver,R14,Halogen Headlights,Gray,Textile,No,,"960,000 ֏"
Volkswagen,Golf,Hatchback,1995,Gasoline,1.6 L,Manual,Front Wheel Drive,"408,000 km",Car is not damaged,Installed,Left,Yes,Black,R14,LED Headlights,Black,Leather,Regular Sunroof,Tinted windows,"$3,200"
Chevrolet,Colorado,Pickup,2018,Gasoline,3.6 L,Automatic,All Wheel Drive,"73,000 miles",Car is not damaged,,Left,Yes,Silver,R16,Halogen Headlights,Black,Leather,No,"Air conditioner, heated seats, cruise control, tinted windows","$29,000"
GAZ (ГАЗ),3110 Volga,Sedan,1998,Gasoline,2.1 L,Manual,Rear Wheel Drive,"140,000 km",Car is not damaged,Installed,Left,Yes,White,R15,Halogen Headlights,Gray,Textile,No,,"900,000 ֏"
Mazda,CX-7,SUV / Crossover,2011,Gasoline,2.5 L,Automatic,Front Wheel Drive,"155,000 km",Car is not damaged,Installed,Left,Yes,Red,R17,Halogen Headlights,Brown,Textile,No,"Air conditioner, cruise control, tinted windows","$14,500"
Kia,Forte,Sedan,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"47,000 miles",Car is not damaged,,Left,Yes,Black,R17,LED Headlights,Black,Leather,No,"Air conditioner, cruise control, tinted windows","$19,000"
Nissan,Rogue,SUV / Crossover,2019,Gasoline,2.5 L,Automatic,All Wheel Drive,"41,000 km",Car is not damaged,,Left,Yes,Gray,R16,Хenon Headlights,Black,Other,No,Air conditioner,"$16,300"
Opel,Astra,Hatchback,2002,Gasoline,1.6 L,Manual,Front Wheel Drive,"248,000 km",Car is not damaged,Installed,Left,Yes,Silver,R15,LED Headlights,Black,Textile,No,"Air conditioner, tinted windows","$4,900"
VAZ (Lada),2109,Hatchback,1989,Gasoline,1.5 L,Manual,Front Wheel Drive,"90,000 km",Car is not damaged,Installed,Left,Yes,Red,R13,Halogen Headlights,Black,Textile,No,,"300,000 ֏"
Hyundai,Kona,SUV / Crossover,2019,Gasoline,2.0 L,Automatic,All Wheel Drive,"32,000 miles",Car is not damaged,,Left,Yes,Gray,R16,Хenon Headlights,Gray,Textile,No,"Air conditioner, heated seats, cruise control, tinted windows","$18,000"
Mercedes-Benz,E-Class,Sedan,2011,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"176,000 km",Car is not damaged,Installed,Left,Yes,Black,R18,Halogen Headlights,Black,Leather,Regular Sunroof,"Air conditioner, cruise control, tinted windows","$19,000"
Toyota,Sienna,Minivan,2019,Gasoline,3.5 L,Automatic,Front Wheel Drive,"57,000 km",Car is not damaged,,Left,Yes,White,R17,Halogen Headlights,Gray,Velour,No,"Air conditioner, heated seats, cruise control, tinted windows","$31,500"
VAZ (Lada),Priora,Sedan,2018,Gasoline,1.6 L,Manual,Front Wheel Drive,"114,000 km",Car is not damaged,,Left,Yes,White,R15,Halogen Headlights,Black,Textile,No,"Air conditioner, heated seats, cruise control, tinted windows","$7,300"
Mercedes-Benz,G-Class,SUV / Crossover,2008,Gasoline,5.0 L,Automatic,All Wheel Drive,"170,000 km",Car is not damaged,,Left,Yes,Black,R21,Хenon Headlights,Brown,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$58,800"
Opel,Astra,Wagon,1999,Gasoline,1.6 L,Manual,Front Wheel Drive,"280,000 km",Car is not damaged,Installed,Left,Yes,Black,R15,LED Headlights,Black,Textile,No,,"$4,800"
Kia,Optima,Sedan,2017,Gasoline,2.4 L,Automatic,Front Wheel Drive,"90,000 km",Car is not damaged,,Left,Yes,Gray,R16,LED Headlights,Other,Leather,No,"Air conditioner, heated seats, cruise control, tinted windows","$15,500"
Hyundai,Elantra,Sedan,2017,Gasoline,2.0 L,Automatic,Front Wheel Drive,"83,500 miles",Car is not damaged,,Left,No,Black,R17,LED Headlights,Black,Other,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$8,490"
VAZ (Lada),2107,Sedan,2004,Gasoline,1.6 L,Manual,Rear Wheel Drive,"100,000 km",Car is not damaged,,Left,Yes,Blue,R13,Halogen Headlights,Beige,Textile,No,,"1,150,000 ֏"
Lexus,RX,SUV / Crossover,2000,Gasoline,3.0 L,Automatic,All Wheel Drive,"200,000 km",Car is not damaged,Installed,Left,Yes,White,R16,LED Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$7,800"
Bentley,Continental GT,Coupe,2006,Gasoline,6.0 L,Automatic,All Wheel Drive,"86,000 km",Car is not damaged,,Left,Yes,White,R20,Halogen Headlights,Black,Leather,No,Cruise control,"$27,000"
Opel,Combo,Van,2006,Gasoline,1.6 L,Manual,Front Wheel Drive,"260,000 km",Car is not damaged,Installed,Left,Yes,Blue,R15,Halogen Headlights,Black,Textile,No,Tinted windows,"$5,200"
Kia,Spectra,Sedan,2006,Gasoline,1.6 L,Manual,Front Wheel Drive,"260,000 km",Car is not damaged,Installed,Left,Yes,Black,R15,Halogen Headlights,Black,Other,No,,"$4,000"
Volkswagen,Touran,Minivan,2003,Gasoline,1.6 L,Manual,Front Wheel Drive,"220,000 km",Car is not damaged,,Left,Yes,Silver,R15,Хenon Headlights,Black,Textile,No,Air conditioner,"$7,500"
Toyota,Camry,Sedan,2022,Gasoline,2.5 L,Automatic,Front Wheel Drive,"22,000 km",Car is not damaged,,Left,Yes,Silver,R19,LED Headlights,Black,Leather,Panoramic Sunroof,,"$24,800"
Mercedes-Benz,E-Class,Sedan,2004,Gasoline,3.2 L,Automatic,Rear Wheel Drive,"165,000 km",Car is not damaged,Installed,Left,Yes,White,R16,Хenon Headlights,Beige,Leather,Panoramic Sunroof,,"$8,500"
Ford,Transit,Van,2002,Diesel,2.4 L,Manual,Front Wheel Drive,"289,459 km",Car is not damaged,,Left,Yes,Black,R15,LED Headlights,Gray,Other,No,,"$7,500"
Lexus,GX,SUV / Crossover,2008,Gasoline,4.7 L,Automatic,All Wheel Drive,"181,000 km",Car is not damaged,Installed,Left,Yes,White,R17,Хenon Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$25,500"
Mercedes-Benz,C-Class,Sedan,1997,Gasoline,2.0 L,Manual,Rear Wheel Drive,"200,000 km",Car is not damaged,,Left,Yes,Gray,R17,Halogen Headlights,Black,Other,No,,"$6,200"
Mercedes-Benz,E-Class,Sedan,2011,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"290,000 km",Car is not damaged,Installed,Left,Yes,Black,R18,Хenon Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$21,500"
Volkswagen,Golf,Hatchback,1997,Gasoline,1.6 L,Manual,Front Wheel Drive,"485,000 km",Car is not damaged,Installed,Left,Yes,Silver,R14,Halogen Headlights,Black,Textile,Regular Sunroof,Tinted windows,"$2,500"
Ford,Focus,Sedan,2018,Gasoline,2.0 L,Automatic,Front Wheel Drive,"119,000 miles",Car is not damaged,,Left,Yes,Orange,R17,Хenon Headlights,Black,Textile,No,"Air conditioner, cruise control","$9,900"
Land Rover,Range Rover,SUV / Crossover,2020,Gasoline,3.0 L,Automatic,All Wheel Drive,"50,000 km",Car is not damaged,,Left,Yes,Black,R20,LED Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$126,000"
Honda,Accord,Sedan,2019,Gasoline,1.5 L,Automatic,Front Wheel Drive,"27,000 miles",Car is not damaged,,Left,Yes,Gray,R19,LED Headlights,Black,Leather,No,,"$22,100"
