Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Gas Equipment,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Comfort,y
Infiniti,Q50,Sedan,2015,Gasoline,3.7 L,Automatic,All Wheel Drive,"88,000 km",Car is not damaged,,Left,Yes,White,R17,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$10,000"
Infiniti,Q50,Sedan,2017,Gasoline,3.0 L,Automatic,All Wheel Drive,"53,000 miles",Car is not damaged,,Left,Yes,White,R19,Хenon Headlights,Other,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$14,900"
Mercedes-Benz,A-Class,Hatchback,2008,Gasoline,1.6 L,Automatic,Front Wheel Drive,"100,000 km",Car is not damaged,,Left,Yes,Black,R16,Хenon Headlights,Black,Leather,No,"Air conditioner, ventilated seats, cruise control, tinted windows","$6,500"
Nissan,Rogue Sport,SUV / Crossover,2019,Gasoline,2.0 L,Automatic,All Wheel Drive,"85,000 miles",Car is not damaged,,Left,Yes,White,R16,Halogen Headlights,Black,Textile,No,"Air conditioner, cruise control","$17,500"
Toyota,Camry,Sedan,2013,Gasoline,2.5 L,Automatic,Front Wheel Drive,"145,000 miles",Car is damaged,Installed,Left,No,Black,R18,Halogen Headlights,Black,Other,Regular Sunroof,"Air conditioner, cruise control, tinted windows","$8,700"
Chrysler,200,Sedan,2015,Gasoline,2.4 L,Automatic,Front Wheel Drive,"156,000 miles",Car is not damaged,Installed,Left,Yes,Black,R17,Хenon Headlights,Beige,Other,No,"Cruise control, tinted windows","$11,000"
Nissan,Teana,Sedan,2004,Gasoline,2.3 L,Automatic,Front Wheel Drive,"150,000 km",Car is not damaged,Installed,Left,Yes,Beige,R17,LED Headlights,Beige,Leather,No,"Air conditioner, tinted windows","$7,000"
Nissan,Frontier,Pickup,2006,Gasoline,2.5 L,Manual,Rear Wheel Drive,"193,000 miles",Car is not damaged,Installed,Left,Yes,White,R16,Halogen Headlights,Gray,Textile,No,"Air conditioner, cruise control, tinted windows","$7,500"
Nissan,Rogue,SUV / Crossover,2017,Gasoline,2.5 L,Automatic,All Wheel Drive,"161,000 km",Car is not damaged,Installed,Left,Yes,White,R17,LED Headlights,Black,Textile,No,"Air conditioner, cruise control","$14,800"
Jeep,Compass,SUV / Crossover,2019,Gasoline,2.4 L,Automatic,Front Wheel Drive,"35,000 miles",Car is not damaged,,Left,Yes,White,R17,Halogen Headlights,White,Other,Panoramic Sunroof,"Air conditioner, cruise control","$20,500"
Toyota,Ipsum,Minivan,2003,Gasoline,2.4 L,Automatic,Front Wheel Drive,"220,000 km",Car is not damaged,Installed,Right,Yes,White,R17,Хenon Headlights,Black,Textile,No,"Air conditioner, cruise control, tinted windows","$10,000"
Lexus,LS,Sedan,2014,Gasoline,4.6 L,Automatic,All Wheel Drive,"148,000 km",Car is not damaged,,Left,Yes,Black,R19,LED Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$31,000"
Opel,Zafira,Minivan,2003,Gasoline,1.8 L,Manual,Front Wheel Drive,"210,000 km",Car is not damaged,Installed,Left,Yes,Blue,R15,Halogen Headlights,Black,Other,No,"Heated seats, ventilated seats, cruise control, tinted windows","$6,300"
Toyota,Camry,Sedan,2016,Gasoline,2.5 L,Automatic,Front Wheel Drive,"170,000 km",Car is not damaged,,Left,Yes,Black,R17,Хenon Headlights,Black,Leather,No,"Air conditioner, heated seats, heated steering wheel, cruise control, tinted windows","$18,900"
